ACAO_NECESSARIA;SECRETARIA;PROGRAMA;ACAO;NATUREZA;VINCULO;COD_APLICACAO;PROCESSO;SUBELEMENTO;OBSERVACAO;ORIGEM;VALOR_CORRETO_16_09;VALOR_ATUAL;DIFERENCA;ID_INTERNO
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"lixo";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;2500,00;-2500,00;"manual-1787161974989-00z4u"
"EXCLUIR LINHA (nao deveria existir)";"11 - SECRETARIA DE SERVIÇOS E OBRAS";"0007 - Meio Ambiente, Sustentabilidade e Bem-Estar Animal​";"2.039 - Limpeza Urbana e Gestão de Resíduos Sólidos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"01";"110.0000";"CA: 110.0000";"LIMPEZA E CONSERVAÇÃO";"";"Lançamento manual";0,00;2,50;-2,50;"manual-1787159531288-qtb8w"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.011 - Manutenção de Equipamentos Públicos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"NOVA CONTRATAÇÃO IGD-PBF";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";"Planilha LOA";0,00;1100000,00;-1100000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.011 - Manutenção de Equipamentos Públicos|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||NOVA CONTRATAÇÃO IGD-PBF|OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA"
"ALTERAR VALOR";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.005 - Promoção de Eventos, Comunicação e Participação Social";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"Atas COFFE BREAK- Falta Sub Elemento";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";"Planilha LOA";1125000,00;585000,00;540000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.005 - Promoção de Eventos, Comunicação e Participação Social|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||Atas COFFE BREAK- Falta Sub Elemento|OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA"
"ALTERAR VALOR";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.027 - Intermediação Profissional";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"14533/2021 - WORKS";"SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL";"";"Planilha LOA";3356640,00;3616926,00;-260286,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.027 - Intermediação Profissional|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||14533/2021 - WORKS|SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL"
"ALTERAR VALOR";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.027 - Intermediação Profissional";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"05";"510.0000";"1140/2026";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"NOVA CONTRATAÇÃO - Em fase de licitação IGD-PBF";"Lançamento manual";1344589,00;1100000,00;244589,00;"manual-1789579558601-qbpgf"
"ALTERAR VALOR";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.005 - Promoção de Eventos, Comunicação e Participação Social";"3.3.90.30.00 - MATERIAL DE CONSUMO";"90.30";"";"Ata de Kit Lanche";"GÊNEROS DE ALIMENTAÇÃO";"";"Planilha LOA";507000,00;557000,00;-50000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.005 - Promoção de Eventos, Comunicação e Participação Social|3.3.90.30.00 - MATERIAL DE CONSUMO|90.30||Ata de Kit Lanche|GÊNEROS DE ALIMENTAÇÃO"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.015 - Manutenção de Equipamentos Públicos - Proteção Básica";"4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE";"90.52";"";"Mobiliario-eletroeletronico-eletrodomésticos-informatica e outros";"MOBILIÁRIO EM GERAL";"";"Planilha LOA";0,00;50000,00;-50000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.015 - Manutenção de Equipamentos Públicos - Proteção Básica|4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE|90.52||Mobiliario-eletroeletronico-eletrodomésticos-informatica e outros|MOBILIÁRIO EM GERAL"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.016 - Manutenção de Equipamentos Públicos - Proteção Especial";"3.3.90.30.00 - MATERIAL DE CONSUMO";"90.30";"";"Ata de Kit Lanche";"GÊNEROS DE ALIMENTAÇÃO";"";"Planilha LOA";0,00;30000,00;-30000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.016 - Manutenção de Equipamentos Públicos - Proteção Especial|3.3.90.30.00 - MATERIAL DE CONSUMO|90.30||Ata de Kit Lanche|GÊNEROS DE ALIMENTAÇÃO"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0018 - Proteção Social e Garantia de Direitos";"2.016 - Manutenção de Equipamentos Públicos - Proteção Especial";"3.3.90.30.00 - MATERIAL DE CONSUMO";"90.30";"";"Devoluções diversas";"";"";"Planilha LOA";0,00;20000,00;-20000,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.016 - Manutenção de Equipamentos Públicos - Proteção Especial|3.3.90.30.00 - MATERIAL DE CONSUMO|90.30||Devoluções diversas|"
"ALTERAR VALOR";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0004 - Planejamento e Gestão de Políticas Públicas";"1.001 - Estudos, Pesquisas, Planos e Projetos";"3.3.90.35.00 - SERVIÇOS DE CONSULTORIA";"90.35";"";"";"";"";"Planilha LOA";0,00;1,00;-1,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|1.001 - Estudos, Pesquisas, Planos e Projetos|3.3.90.35.00 - SERVIÇOS DE CONSULTORIA|90.35|||"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0001 - Administração e Coordenação Geral";"1.001 - Estudos, Pesquisas, Planos e Projetos";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"Falta Elemento 35";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";"Planilha LOA";0,00;1,00;-1,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|1.001 - Estudos, Pesquisas, Planos e Projetos|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||Falta Elemento 35|OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA"
"EXCLUIR LINHA (nao deveria existir)";"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL";"0019 - Segurança Alimentar e Combate à Pobreza";"2.024 - Distribuição de Alimentos e Benefícios para as Famílias em Situação de Vulnerabilidade";"3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"90.39";"";"25075/2021-Falta elemento 48";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"";"Planilha LOA";0,00;0,00;0,00;"14 - SECRETARIA DE ASSISTÊNCIA SOCIAL|2.024 - Distribuição de Alimentos e Benefícios para as Famílias em Situação de Vulnerabilidade|3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA|90.39||25075/2021-Falta elemento 48|OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA"
"INCLUIR LINHA (sumiu)";"18 - ENCARGOS/FINANÇAS";"0021 - Encargos Especiais";"0.001 - Serviços da Dívida Pública";"3.2.90.21.00 - JUROS DA DÍVIDA CONTRATUAL";"90.21";"";"";"";"";"Planilha LOA";0,00;0,00;0,00;"18 - ENCARGOS/FINANÇAS|0.001 - Serviços da Dívida Pública|3.2.90.21.00 - JUROS DA DÍVIDA CONTRATUAL|90.21|||"
"EXCLUIR LINHA (nao deveria existir)";"18 - ENCARGOS/FINANÇAS";"0021 - Encargos Especiais";"0.001 - Serviços da Dívida Pública";"3.2.90.21.00 - JUROS DA DÍVIDA CONTRATUAL";"01";"210.0000";"1254787";"JUROS DA DÍVIDA CONTRATUAL";"teste";"Lançamento manual";0,00;0,00;0,00;"manual-vinculo-ca415947-9fe2-4cf5-b506-ae91c7f65d5c"
"EXCLUIR LINHA (nao deveria existir)";"18 - ENCARGOS/FINANÇAS";"0021 - Encargos Especiais";"0.001 - Serviços da Dívida Pública";"3.2.90.21.00 - JUROS DA DÍVIDA CONTRATUAL";"01";"310.0000";"1254787";"JUROS DA DÍVIDA CONTRATUAL";"teste";"Lançamento manual";0,00;0,00;0,00;"manual-vinculo-d37c8ae2-1a4d-4f77-9336-e417015aee7d"
"ALTERAR VALOR";"28 - SECRETARIA DE GOVERNO";"0004 - Planejamento e Gestão de Políticas Públicas";"1.001 - Estudos, Pesquisas, Planos e Projetos";"3.3.90.35.00 - SERVIÇOS DE CONSULTORIA";"90.35";"";"";"";"";"Planilha LOA";150000,00;0,00;150000,00;"28 - SECRETARIA DE GOVERNO|1.001 - Estudos, Pesquisas, Planos e Projetos|3.3.90.35.00 - SERVIÇOS DE CONSULTORIA|90.35|||"
